,Rank,Team,Conf,W-L,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID,AdjEM
0,1,Kansas,B12,26-4,119.1,92.7,69.5,+.052,108.7,99.1,1242.0,26.39999999999999
1,2,Michigan St.,B10,24-5,121.0,94.8,68.0,-.021,105.8,100.5,1277.0,26.200000000000003
2,3,Villanova,BE,25-4,117.7,92.6,67.5,+.026,107.3,99.9,1437.0,25.10000000000001
3,4,Virginia,ACC,22-6,118.2,93.0,61.6,-.043,109.0,99.8,1438.0,25.200000000000003
4,5,North Carolina,ACC,24-6,119.9,96.1,72.6,-.062,108.3,100.7,1314.0,23.80000000000001
5,6,Oklahoma,B12,22-6,116.7,93.7,71.0,-.001,109.1,99.3,1328.0,23.0
6,7,Louisville,ACC,22-7,112.1,90.6,67.2,-.048,108.4,102.8,1257.0,21.5
7,8,Wichita St.,MVC,23-7,110.9,89.9,67.1,-.077,102.2,100.6,1455.0,21.0
8,9,West Virginia,B12,22-7,113.9,92.8,71.1,+.004,108.7,99.7,1452.0,21.10000000000001
9,10,Kentucky,SEC,21-8,118.4,96.8,67.7,-.055,107.0,99.8,1246.0,21.60000000000001
10,11,Miami FL,ACC,23-5,117.6,96.9,66.8,+.068,108.9,100.5,1274.0,20.69999999999999
11,12,Xavier,BE,25-4,115.7,95.6,72.2,+.082,105.8,99.4,1462.0,20.10000000000001
12,13,Duke,ACC,21-8,120.6,99.9,68.3,-.031,109.4,100.4,1181.0,20.69999999999999
13,14,Iowa,B10,20-8,116.4,96.4,69.8,-.078,107.7,100.8,1234.0,20.0
14,15,Indiana,B10,23-6,118.4,98.3,69.2,+.003,105.9,102.3,1231.0,20.10000000000001
15,16,Arizona,P12,22-7,115.2,95.8,69.4,-.041,105.6,101.5,1112.0,19.400000000000006
16,17,Iowa St.,B12,21-9,120.3,100.3,71.8,-.051,107.3,98.8,1235.0,20.0
17,18,Oregon,P12,23-6,117.8,98.5,69.4,+.019,106.1,99.5,1332.0,19.299999999999997
18,19,Purdue,B10,22-7,112.8,94.4,68.6,-.022,107.0,101.8,1345.0,18.39999999999999
19,20,SMU,Amer,24-4,117.4,98.6,66.3,+.030,104.0,102.0,1374.0,18.80000000000001
20,21,Maryland,B10,23-6,112.6,94.8,68.8,+.012,106.6,100.6,1268.0,17.799999999999997
21,22,California,P12,21-8,111.5,93.9,69.2,-.042,107.4,101.8,1143.0,17.599999999999994
22,23,Vanderbilt,SEC,18-11,112.9,95.3,69.1,-.095,107.3,100.2,1435.0,17.60000000000001
23,24,Utah,P12,23-7,114.8,97.0,67.0,+.074,107.4,100.3,1428.0,17.799999999999997
24,25,Texas A&M;,SEC,22-7,111.9,94.6,68.1,+.008,107.2,101.3,1401.0,17.30000000000001
25,26,Baylor,B12,21-8,119.2,101.5,67.0,+.043,106.8,99.0,1124.0,17.700000000000003
26,27,Wisconsin,B10,19-10,110.7,94.6,63.9,-.031,107.5,100.2,1458.0,16.10000000000001
27,28,Connecticut,Amer,20-9,108.8,93.0,67.0,-.077,105.3,102.2,1163.0,15.799999999999997
28,29,Cincinnati,Amer,21-8,108.0,92.5,66.1,-.050,104.9,102.2,1153.0,15.5
