,Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,Gonzaga,WCC,29-1,+32.53,121.4,88.9,70.1,+.015,105.3,105.1,1211.0
1,2,Villanova,BE,27-3,+29.33,123.4,94.1,64.4,+.018,110.7,101.1,1437.0
2,3,North Carolina,ACC,25-6,+27.84,122.0,94.2,71.0,+.011,111.8,100.3,1314.0
3,4,West Virginia,B12,23-7,+27.75,118.6,90.8,70.7,-.057,109.4,100.5,1452.0
4,5,Louisville,ACC,23-6,+27.71,117.9,90.1,68.4,+.010,111.7,100.4,1257.0
5,6,Florida,SEC,23-6,+27.57,117.4,89.8,69.2,-.028,110.5,99.2,1196.0
6,7,Virginia,ACC,20-9,+27.22,114.1,86.9,59.1,-.053,111.9,99.2,1438.0
7,8,Kentucky,SEC,25-5,+27.20,119.7,92.5,73.5,-.005,110.3,100.8,1246.0
8,9,Kansas,B12,27-3,+26.41,121.5,95.1,70.2,+.088,111.1,99.2,1242.0
9,10,Wichita St.,MVC,27-4,+25.53,120.3,94.7,69.2,-.013,105.1,104.5,1455.0
10,11,Baylor,B12,24-6,+25.50,117.3,91.8,63.5,+.010,112.2,99.5,1124.0
11,12,Purdue,B10,24-6,+24.35,118.1,93.8,69.3,-.018,108.7,101.4,1345.0
12,13,UCLA,P12,26-3,+24.19,125.6,101.4,73.4,+.020,107.7,103.6,1417.0
13,14,Saint Mary's,WCC,26-3,+24.07,119.7,95.7,59.5,+.041,103.9,105.0,1388.0
14,15,Duke,ACC,23-7,+23.96,120.4,96.5,67.8,+.013,110.7,100.5,1181.0
15,16,SMU,Amer,25-4,+23.88,118.2,94.3,63.5,+.014,105.8,102.8,1374.0
16,17,Oregon,P12,26-4,+23.44,117.6,94.2,66.7,+.056,108.6,102.2,1332.0
17,18,Florida St.,ACC,23-7,+22.96,118.3,95.3,71.4,+.027,111.1,101.8,1199.0
18,19,Oklahoma St.,B12,20-10,+22.91,125.4,102.5,70.6,-.035,111.7,98.2,1329.0
19,20,Butler,BE,23-6,+22.22,119.6,97.4,66.1,+.021,111.2,100.5,1139.0
20,21,Wisconsin,B10,22-7,+21.80,115.4,93.6,63.8,+.015,109.8,101.2,1458.0
21,22,Arizona,P12,26-4,+21.49,117.2,95.7,65.3,+.060,107.8,102.3,1112.0
22,23,Iowa St.,B12,20-9,+21.26,118.5,97.3,68.3,-.017,111.9,99.8,1235.0
23,24,Cincinnati,Amer,25-4,+20.99,113.8,92.8,64.2,+.030,106.5,104.3,1153.0
24,25,Notre Dame,ACC,22-7,+19.94,119.0,99.1,67.7,+.035,110.1,101.0,1323.0
25,26,Creighton,BE,23-7,+19.91,117.2,97.3,70.9,+.008,110.1,102.4,1166.0
26,27,Michigan,B10,19-10,+19.17,120.4,101.3,62.8,-.037,109.3,101.2,1276.0
27,28,South Carolina,SEC,22-8,+18.21,106.3,88.0,68.6,+.015,109.5,101.3,1376.0
28,29,Miami FL,ACC,20-9,+17.84,111.8,93.9,64.0,+.025,110.6,101.8,1274.0
29,30,Minnesota,B10,22-7,+17.07,110.1,93.0,69.6,+.016,109.0,101.6,1278.0
30,31,Dayton,A10,23-5,+16.91,112.4,95.5,68.7,+.006,106.1,103.2,1173.0
31,32,Marquette,BE,17-11,+16.88,120.2,103.4,70.1,-.069,109.5,101.4,1266.0
32,33,Wake Forest,ACC,16-12,+16.80,119.8,103.0,70.8,-.052,111.6,100.7,1448.0
33,34,Clemson,ACC,14-14,+16.07,117.3,101.2,66.8,-.071,111.8,99.0,1155.0
34,35,Texas Tech,B12,17-12,+15.92,115.2,99.3,64.2,-.081,109.6,102.2,1403.0
