,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,Gonzaga,WCC,25-0,+37.53,126.0,88.4,75.2,+.015,105.3,98.9,1211.0
1,2,Baylor,B12,21-1,+32.83,125.3,92.5,68.3,+.058,106.4,97.8,1124.0
2,3,Michigan,B10,19-3,+31.82,119.3,87.5,67.3,+.054,111.1,95.2,1276.0
3,4,Iowa,B10,20-7,+30.45,125.7,95.2,70.0,-.030,110.0,94.5,1234.0
4,5,Illinois,B10,20-6,+30.37,118.7,88.3,70.5,+.016,112.1,94.6,1228.0
5,6,Houston,Amer,21-3,+28.93,117.7,88.8,65.4,-.019,104.0,98.0,1222.0
6,7,Ohio St.,B10,18-8,+26.04,122.7,96.7,67.1,-.009,111.3,94.0,1326.0
7,8,Alabama,SEC,21-6,+25.02,111.6,86.6,74.4,+.009,109.5,96.0,1104.0
8,9,Loyola Chicago,MVC,24-4,+24.68,111.1,86.4,64.3,-.020,104.3,100.7,1260.0
9,10,Villanova,BE,16-5,+24.03,118.7,94.7,65.3,+.020,109.1,96.9,1437.0
10,11,Wisconsin,B10,16-11,+23.91,113.3,89.4,65.2,-.052,111.4,94.3,1458.0
11,12,Virginia,ACC,17-6,+23.90,116.4,92.5,60.1,+.034,109.3,97.8,1438.0
12,13,Purdue,B10,18-8,+23.75,114.1,90.4,66.7,+.029,111.2,94.7,1345.0
13,14,Florida St.,ACC,15-5,+23.57,117.6,94.0,70.9,-.008,108.3,97.0,1199.0
14,15,USC,P12,21-6,+23.34,113.0,89.7,67.6,+.004,107.6,97.6,1425.0
15,16,Colorado,P12,20-7,+23.24,114.8,91.6,66.9,-.041,107.2,97.7,1160.0
16,17,Creighton,BE,18-7,+22.95,117.1,94.1,69.4,-.034,107.7,96.1,1166.0
17,18,Arkansas,SEC,21-5,+22.91,113.7,90.8,73.0,+.065,107.4,97.4,1116.0
18,19,San Diego St.,MWC,20-4,+22.37,111.1,88.8,66.5,-.003,105.1,100.0,1361.0
19,20,Texas Tech,B12,17-9,+21.92,113.3,91.3,65.5,-.073,107.4,97.4,1403.0
20,21,Kansas,B12,19-8,+21.82,110.4,88.6,68.5,+.034,110.0,95.8,1242.0
21,22,Tennessee,SEC,17-7,+21.78,109.3,87.5,67.0,+.005,108.1,96.8,1397.0
22,23,Connecticut,BE,14-6,+21.73,114.0,92.3,66.0,-.050,108.1,96.2,1163.0
23,24,BYU,WCC,20-5,+21.67,113.2,91.5,68.3,+.057,106.9,98.3,1140.0
24,25,West Virginia,B12,18-8,+21.28,117.4,96.1,69.6,-.024,109.0,95.2,1452.0
25,26,Texas,B12,17-7,+21.23,113.6,92.4,69.2,-.007,108.7,95.9,1400.0
26,27,St. Bonaventure,A10,15-4,+20.90,111.4,90.5,65.1,+.008,105.7,98.5,1382.0
27,28,LSU,SEC,16-8,+20.05,119.8,99.8,71.3,+.000,107.5,95.5,1261.0
28,29,Maryland,B10,15-12,+19.61,111.4,91.8,65.2,-.040,109.9,93.8,1268.0
29,30,Florida,SEC,13-8,+19.43,112.1,92.7,68.8,-.001,109.8,95.6,1196.0
30,31,North Carolina,ACC,16-9,+19.33,110.0,90.6,71.9,-.001,110.2,96.9,1314.0
31,32,Georgia Tech,ACC,15-8,+19.30,114.0,94.7,67.8,-.028,108.4,96.9,1210.0
32,33,Rutgers,B10,14-10,+19.16,109.3,90.2,67.9,+.023,112.5,95.3,1353.0
33,34,Penn St.,B10,10-13,+19.04,112.8,93.7,69.7,-.048,112.8,92.9,1336.0
34,35,Oregon,P12,19-5,+18.94,115.1,96.2,67.2,+.054,107.4,98.2,1332.0
35,36,Oklahoma St.,B12,18-7,+18.77,110.1,91.3,71.7,+.042,109.8,97.0,1329.0
36,37,Oklahoma,B12,14-9,+18.18,112.4,94.2,67.7,-.039,108.4,96.5,1328.0
37,38,Clemson,ACC,16-6,+17.69,107.6,89.9,64.4,+.150,109.5,95.5,1155.0
38,39,Indiana,B10,12-14,+17.60,110.8,93.2,66.4,-.049,111.8,93.4,1231.0
39,40,Memphis,Amer,15-7,+17.28,103.7,86.4,72.0,-.082,104.0,98.3,1272.0
42,41,Duke,ACC,11-11,+17.15,115.1,97.9,69.4,-.111,109.1,96.6,1181.0
43,42,UCLA,P12,17-8,+17.14,114.4,97.2,64.6,+.043,108.3,97.1,1417.0
44,43,VCU,A10,19-6,+17.04,106.0,88.9,69.8,+.045,106.2,98.5,1433.0
