,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,OppO,OppD,TeamID
0,1,Gonzaga,WCC,37-2,+32.05,118.4,86.3,70.1,+.020,106.2,103.3,1211.0
1,2,Villanova,BE,32-4,+29.88,122.4,92.5,64.1,+.010,109.8,100.5,1437.0
2,3,North Carolina,ACC,33-7,+28.22,120.7,92.5,71.3,+.037,112.0,99.5,1314.0
3,4,Kentucky,SEC,32-6,+27.72,119.1,91.4,72.0,+.006,110.5,99.5,1246.0
4,5,Florida,SEC,27-9,+27.50,116.9,89.5,69.0,-.041,110.3,97.8,1196.0
5,6,Kansas,B12,31-5,+27.45,121.9,94.5,70.2,+.067,111.2,98.8,1242.0
6,7,West Virginia,B12,28-9,+27.17,116.5,89.4,69.9,-.043,110.1,99.2,1452.0
7,8,Wichita St.,MVC,31-5,+26.14,118.7,92.6,68.0,-.021,105.0,103.5,1455.0
8,9,Louisville,ACC,25-9,+25.51,117.2,91.7,67.9,-.023,111.6,100.5,1257.0
9,10,Oregon,P12,33-6,+25.02,118.2,93.2,67.0,+.034,109.2,101.2,1332.0
10,11,SMU,Amer,30-5,+24.73,119.8,95.0,63.5,+.003,105.3,102.1,1374.0
11,12,Virginia,ACC,23-11,+24.29,112.2,88.0,59.2,-.030,111.5,99.8,1438.0
12,13,Baylor,B12,27-8,+24.23,117.1,92.9,63.7,+.023,111.7,98.6,1124.0
13,14,Duke,ACC,28-9,+24.17,121.0,96.8,68.3,+.014,111.0,99.6,1181.0
14,15,Saint Mary's,WCC,29-5,+23.67,118.7,95.0,60.2,+.030,104.3,103.9,1388.0
15,16,UCLA,P12,31-5,+23.63,124.0,100.4,72.6,+.021,108.0,102.8,1417.0
16,17,Iowa St.,B12,24-11,+23.45,119.7,96.3,68.4,-.019,112.6,98.6,1235.0
17,18,Arizona,P12,32-5,+23.31,118.4,95.1,66.0,+.046,108.7,101.5,1112.0
18,19,Purdue,B10,27-8,+23.12,117.0,93.9,69.1,+.016,109.6,100.6,1345.0
19,20,Michigan,B10,26-12,+23.05,122.3,99.2,63.1,-.025,110.3,99.5,1276.0
20,21,Wisconsin,B10,27-10,+22.99,115.1,92.1,63.4,-.003,110.6,100.6,1458.0
21,22,Oklahoma St.,B12,20-13,+22.48,126.0,103.5,70.4,-.071,112.0,97.6,1329.0
